Move number,White Moves,Black Moves
28,Kc4,Rxc2+
29,Kd3,Rxb2
30,Rc4,Ne5+
31,Kd4,Nxc4
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,d5
2,f3,Qd6
3,c4,dxe4
4,Qa4+,Nc6
5,fxe4,Qd4
6,d3,e5
7,Nf3,Qd6
8,Bg5,f6
9,Bh4,g5
10,Bf2,g4
11,Nh4,Nh6
12,h3,Bd7
13,Nc3,Nb4
14,Nb5,Qe7
15,Nxc7+,Kf7
16,Nxa8,Bxa4
17,b3,Nc2+
18,Kd2,Qa3
19,bxa4,Qb2
20,Rc1,Ne3+
21,Kxe3,Qxc1+
22,Ke2,Qc2+
23,Ke3,Qc1+
24,Ke2,Bb4
25,hxg4,Nxg4
26,Kf3,Nxf2
27,Kxf2,Qe1+
28,Kf3,Rg8
29,Nf5,Rxa8
30,Nh6+,Ke6
31,Nf5,Bd2
32,Ng7+,Kd6
33,Nf5+,Kc5
34,d4+,Kb4
35,d5,Qa1
36,g3,Kxa4
37,d6,Rd8
38,Rxh7,Qxf1+
39,Kg4,Rg8+
40,Rg7,Rh8
41,Rxb7,Qh3+
42,Kf3,Qf1+
43,Kg4,Qg2
44,Rxa7+,Kb4
45,Rb7+,Kxc4
46,Rc7+,Kd3
47,d7,Rd8
48,Nh4,Qe2+
49,Nf3,Qxe4+
50,Kh3,Qxf3
51,Rc8,Rxd7
52,Ra8,Rh7#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d3,d5
2,e4,d4
3,Nf3,c5
4,Ne5,Nc6
5,Nc4,Be6
6,Bg5,h6
7,Bf4,Bxc4
8,dxc4,Nf6
9,e5,Nd7
10,e6,fxe6
11,Bxh6,Rxh6
12,g4,e5
13,g5,Rg6
14,Qh5,Kf7
15,Bh3,e6
16,f4,exf4
17,O-O,Qxg5+
18,Qxg5,Rxg5+
19,Kh1,e5
20,Bxd7,Nb4
21,c3,Nc2
22,cxd4,cxd4
23,c5,Nxa1
24,Na3,Rd8
25,Bb5,a6
26,Bc4+,Kg6
27,Rxa1,f3
28,Re1,f2
29,Rf1,Bxc5
30,Nc2,d3
31,Na1,d2
32,Be2,d1=Q
33,Bxd1,Rxd1
34,Nb3,Rxf1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,Nf3,Nf6
3,e3,c5
4,c4,e6
5,cxd5,exd5
6,Bb5+,Nc6
7,dxc5,Bxc5
8,Ne5,Qc7
9,Nc3,Qxe5
10,b4,Qxc3+
11,Bd2,Qe5
12,bxc5,O-O
13,f4,Qh5
14,g4,Nxg4
15,Rg1,Qh4+
16,Ke2,Bf5
17,Be1,Qxh2+
18,Bf2,Qxf2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,Nf3,d5
2,g3,Bg4
3,Ng1,d4
4,Bh3,f5
5,Bxg4,Qd5
6,f3,fxg4
7,c3,gxf3
8,Nxf3,dxc3
9,dxc3,Qe4
10,Qd3,Qg4
11,Bf4,Na6
12,h3,Qe6
13,Nd4,Qd5
14,Qf3,Qd8
15,Qxb7,Qc8
16,Qxc8+,Rxc8
17,Nc6,Ra8
18,Nd2,h6
19,Nc4,g5
20,Be5,Rh7
21,h4,g4
22,Rf1,h5
23,Rd1,Rh6
24,Nc4a5,Nf6
25,Bxf6,exf6
26,Rd7,Nc5
27,Rxc7,Ne4
28,Rxa7,Rxa7
29,Nxa7,Nxg3
30,Rg1,Ne4
31,Na7c6,Bc5
32,Rg2,f5
33,Nc4,Rxc6
34,Ne5,Re6
35,Nd3,Be3
36,a4,Bd2+
37,Kd1,Be3
38,a5,Nf6
39,b4,Ne4
40,c4,Nd2
41,Nb2,Bd4
42,b5,Bxb2
43,a6,Nxc4
44,a7,Nb6
45,e3,Rxe3
46,Rxb2,Rd3+
47,Kc2,Rd7
48,Ra2,g3
49,Ra6,g2
50,Ra1,g1=Q
51,Rxg1,Rxa7
52,Rg8+,Kf7
53,Rb8,Nd5
54,b6,Nxb6
55,Rxb6,f4
56,Kd2,Re7
57,Rb3,Kf6
58,Rf3,Kf5
59,Rxf4+,Kxf4
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,e3,Nc6
3,c4,e5
4,Qd3,e4
5,Qb3,Bb4+
6,Bd2,Nf6
7,c5,O-O
8,Bb5,Bxd2+
9,Kxd2,Bd7
10,f3,a6
11,Be2,Na5
12,Qd1,Nc4+
13,Ke1,Nxe3
14,Qb3,Nxg2+
15,Kf2,Nf4
16,fxe4,Bc6
17,e5,Ne4+
18,Kf3,Nxe2
19,Kxe2,Bb5+
20,Ke3,Qg5+
21,Kf3,Qf5+
22,Kg2,Qf2+
23,Kh3,Qf1+
24,Kg4,Qg2+
25,Kf4,Qxh1
26,Qf3,g5+
27,Kg4,Qxg1+
28,Kh5,Qxh2+
29,Kg4,Be2
30,Nd2,Bxf3+
31,Nxf3,Qf4+
32,Kh3,Qxf3+
33,Kh2,Qg3+
34,Kh1,Nf2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,c4,e5
2,b4,Qg5
3,a3,a5
4,b5,c6
5,b6,Ra6
6,Qb3,Bc5
7,d4,Rxb6
8,Bxg5,Rxb3
9,dxc5,Na6
10,Nd2,Rb2
11,Rb1,Ra2
12,Rb6,Nxc5
13,f3,f6
14,Be3,d6
15,h3,Ra1+
16,Kf2,Rd1
17,Bxc5,dxc5
18,e4,Ne7
19,Nb3,O-O
20,Be2,Rb1
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,e6
2,e4,Qh4
3,Be3,Qxe4
4,Bd3,Qxg2
5,Qf3,Qxf3
6,Nxf3,d5
7,Nc3,b6
8,O-O-O,Nc6
9,Rhe1,f6
10,Bb5,Bd7
11,Ba6,e5
12,Bb7,Rb8
13,Bxc6,Bxc6
14,a3,exd4
15,Bxd4+,Ne7
16,Ne5,g6
17,Nxc6,Bh6+
18,Kb1,Kf7
19,Rxe7+,Kf8
20,Bxf6,Rb7
21,Bxh8,b5
22,Nxd5,b4
23,Rde1,Rb5
24,Re8+,Kf7
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,a3,e5
2,h4,Qf6
3,h5,Bc5
4,Nf3,e4
5,e3,exf3
6,gxf3,d6
7,Bb5+,c6
8,Ba4,Be6
9,h6,gxh6
10,f4,b5
11,Qh5,bxa4
12,f5,Bd5
13,d4,Bxh1
14,dxc5,Be4
15,cxd6,Bxf5
16,Nc3,Bxc2
17,Nd5,Qxd6
18,Nf4,Qd1+
19,Qxd1,Bxd1
20,Kxd1,Na6
21,e4,O-O-O+
22,Bd2,Nf6
23,e5,Ne4
24,f3,Rxd2+
25,Ke1,Rhd8
26,fxe4,Rxb2
27,e6,fxe6
28,Nxe6,Re8
29,Rc1,Rxe6
30,Rxc6+,Kd7
31,Rc4,Rb1+
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,a4,e5
2,b4,Bxb4
3,c4,Qf6
4,Qb3,c5
5,Qf3,d6
6,e4,Nc6
7,Ba3,Bxa3
8,Nxa3,h5
9,Rb1,Bg4
10,Qxf6,Nxf6
11,f3,Bxf3
12,gxf3,O-O
13,h4,Nd4
14,Rxb7,Rab8
15,Rc7,Nc2+
16,Nxc2,Rb1+
17,Kf2,Rfb8
18,Rxa7,Rb8b2
19,Ne3,Rxd2+
20,Ne2,Rb3
21,Ra8+,Kh7
22,Rg1,d5
23,a5,d4
24,a6,dxe3+
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Nf3,c6
3,Nc3,Qb6
4,Nxe5,Bc5
5,Nd3,Bd4
6,Qh5,g6
7,Qg5,d6
8,e5,h6
9,Qg3,Nd7
10,exd6,Nc5
11,Nxc5,Qxc5
12,a3,Be5
13,Qf3,Bf5
14,d3,a6
15,Nd5,Qxd5
16,Qxd5,cxd5
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,d5
2,Qh5,dxe4
3,Bc4,Be6
4,d3,exd3
5,Bxd3,Nc6
6,Ne2,Nf6
7,Qg5,h6
8,Qg3,g5
9,Nbc3,Bg7
10,f4,g4
11,f5,Bd5
12,Bf4,O-O
13,Bxc7,Qd7
14,Bf4,Rae8
15,Qe3,e5
16,Bg5,hxg5
17,Qxg5,Bxg2
18,Rg1,Bf3
19,Ng3,Nh7
20,Qh5,Nf6
21,Qg5,Nh7
22,Qe3,Nd4
23,f6,Nxf6
24,Rc1,Nd5
25,Qg5,Ne6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,d4,exd4
3,Qxd4,Qf6
4,Qd5,c6
5,Qf5,g6
6,Qf3,d5
7,Qg3,dxe4
8,Bc4,Be6
9,b3,Kd7
10,Qe3,Qxa1
11,Qxe4,Qxb1
12,Ne2,Qxa2
13,f4,b5
14,Bd3,Qa6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,a3,d6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,g3,d6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,g3,d6
2,Bg2,c6
3,e4,Bg4
4,d3,d5
5,Qd2,dxe4
6,dxe4,Qxd2+
7,Bxd2,Nf6
8,Nf3,Bxf3
9,Bxf3,Nbd7
10,Bh5,Nxh5
11,Bg5,f6
12,Nc3,Ne5
13,Rd1,Nf3+
14,Ke2,Nxg5
15,Na4,b5
16,Nc5,Rd8
17,Nb7,Rxd1
18,Rxd1,Nxe4
19,Rd8+,Kf7
20,Ke3,g6
21,Kxe4,f5+
22,Kd4,Bg7+
23,Kc5,Rxd8
24,Kxc6,Rc8+
25,Kxb5,f4
26,Nd6+,Ke6
27,Nxc8,fxg3
28,hxg3,Bxb2
29,g4,Nf4
30,f3,Ng2
31,Nxa7,Ne3
32,Nc6,Nxc2
33,Nb4,Nxb4
34,Kxb4,h5
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,c3,d5
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,b3,e6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,g3,e5
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,g3,e6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,f3,e5
2,g4,Qh4#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e3,e6
2,b3,Nh6
3,g3,Qf6
4,Bb2,Ng4
5,c3,Qxf2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,c5
2,Nf3,d6
3,d4,cxd4
4,Nxd4,Nf6
5,Nc3,a6
6,Be3,e6
7,Qd2,Be7
8,O-O-O,O-O
9,f3,Nc6
10,h4,Nxd4
11,Bxd4,e5
12,Be3,Nh5
13,Bc4,Bxh4
14,g4,Nf4
15,Bxf4,exf4
16,Qxf4,Bg5
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,a3,Nf6
2,c3,g6
3,e3,Bg7
4,g3,e6
5,Nf3,d6
6,d3,Bd7
7,d4,Na6
8,Nh4,c5
9,Nxg6,b6
10,Ne5,cxd4
11,exd4,dxe5
12,dxe5,Ng4
13,Qxg4,Bxe5
14,Qh5,Bb5
15,Bd3,Nc5
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,h4,g6
2,g3,Bg7
3,f4,e6
4,e3,d6
5,c3,b6
6,b4,Bb7
7,a3,Bxh1
8,Bc4,d5
9,b5,dxc4
10,d4,c6
11,Nd2,cxb5
12,Nxc4,bxc4
13,Qa4+,b5
14,Qxb5+,Nd7
15,Qxc4,Rc8
16,Qa6,Rc6
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,c5
2,c4,Nc6
3,f4,d6
4,g4,e5
5,d3,Qh4+
6,Ke2,Bxg4+
7,Nf3,Nd4+
8,Ke3,Bxf3
9,Qxf3,Nxf3
10,Kxf3,Nf6
11,f5,Qg4+
12,Kf2,Qh4+
13,Kg2,g6
14,Nc3,gxf5
15,exf5,Rg8+
16,Bg5,Rxg5+
17,Kf3,Qh3+
18,Ke2,Qg4+
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d3,e5
2,e4,Nc6
3,Nh3,Nf6
4,Bg5,d6
5,Nc3,Bxh3
6,gxh3,h6
7,Bxf6,Qxf6
8,Be2,d5
9,Rf1,Bc5
10,f4,dxe4
11,fxe5,Qxe5
12,dxe4,Qxh2
13,Bh5,Qg3+
14,Kd2,Qe3#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d3,d5
2,b3,e5
3,Nc3,d4
4,Ne4,f5
5,Ng3,Bb4+
6,Bd2,Bxd2+
7,Qxd2,f4
8,Ne4,Nc6
9,O-O-O,Nf6
10,Nc5,Qd6
11,Na4,Qa3+
12,Nb2,Nb4
13,Nf3,Nxa2+
14,Kb1,Nc3+
15,Kc1,Qa1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,c5
2,Nf3,Nc6
3,Bc4,e6
4,Nc3,Nge7
5,d3,Ng6
6,b3,Bd6
7,Bb2,O-O
8,Nb5,Bc7
9,Qe2,Bb8
10,O-O-O,a6
11,Na3,Nf4
12,Qe3,Nd4
13,g3,g5
14,gxf4,Bxf4
15,Bxd4,cxd4
16,Nxd4,Bxe3+
17,Kb1,Bxd4
18,Rhg1,Qe7
19,Rde1,Qxa3
20,c3,Bxc3
21,Re2,h6
22,Bxe6,dxe6
23,f4,f6
24,h4,a5
25,fxg5,fxg5
26,hxg5,hxg5
27,Rxg5+,Kf7
28,Rf2+,Ke7
29,Rg7+,Kd6
30,Rxf8,Qb2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,Qd3,Nf6
3,Nc3,a6
4,e4,dxe4
5,Nxe4,Bf5
6,f3,e6
7,Bg5,Bxe4
8,fxe4,Be7
9,Bxf6,Bxf6
10,e5,Be7
11,O-O-O,b5
12,Qg3,O-O
13,Bd3,Qc8
14,Qf3,Nd7
15,Qe4,f5
16,Qf3,c5
17,d5,Nxe5
18,Qf2,Nxd3+
19,Rxd3,c4
20,Rd1,Bc5
21,Qe2,exd5
22,Rxd5,Bxg1
23,Rxg1,Re8
24,Qd2,Qe6
25,Re1,Qxe1+
26,Qxe1,Rxe1+
27,Kd2,Rh1
28,Rxf5,Rxh2
29,Rg5,h6
30,Rg3,Rd8+
31,Kc3,Re8
32,Kb4,Re2
33,c3,Rxb2+
34,Kc5,Rxa2
35,Kb6,a5
36,Re3,Rhxg2
37,Re8+,Kh7
38,Ra8,a4
39,Ra7,a3
40,Ka5,Rg3
41,Rb7,Rxc3
42,Rxb5,Rb2
43,Rf5,a2
44,Rf1,Rb1
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,Nc3,Nc6
3,e3,Bf5
4,Bb5,Qd7
5,Qh5,Bg6
6,Qg5,O-O-O
7,Nxd5,Qxd5
8,Qxd5,Rxd5
9,c4,Rd8
10,d5,Ne5
11,c5,Nd3+
12,Kf1,Nxc5
13,Nf3,Rxd5
14,b4,Ne4
15,Ne1,Rxb5
16,f3,Nc3
17,Nd3,Bxd3+
18,Kf2,Rxb4
19,Rd1,Nxd1+
20,Kg3,Rb1
21,Rxb1,Bxb1
22,Bd2,Bxa2
23,e4,e5
24,h4,Nf6
25,Kh3,c5
26,g4,b5
27,g5,Nd7
28,h5,g6
29,h6,b4
30,Kg4,c4
31,Bxb4,Bd6
32,Bxd6,c3
33,Ba3,Nc5
34,f4,exf4
35,e5,f3
36,Kxf3,Nd3
37,Ke2,Bb1
38,Kxd1,c2+
39,Ke2,c1=Q
40,Bxc1,Nxc1+
41,Kd2,Nb3+
42,Kc3,Na5
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d3,e5
2,e4,d5
3,Nf3,dxe4
4,Nxe5,exd3
5,Nxd3,Bf5
6,g4,Bxd3
7,Bxd3,Nc6
8,Nc3,Qd7
9,Qe2+,Qe7
10,Bg5,Qxe2+
11,Nxe2,Be7
12,h4,Bxg5
13,hxg5,g6
14,Rd1,O-O-O
15,f4,f6
16,f5,gxf5
17,Bxf5+,Kb8
18,Nc3,Rxd1+
19,Nxd1,h6
20,g6,Ne5
21,Ne3,Nf3+
22,Kf2,Ng5
23,Rd1,Ne7
24,Rd7,Nxf5
25,Nxf5,Ne4+
26,Kf3,Ng5+
27,Kf4,Ne6+
28,Ke4,Nf8
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,d4,d6
2,Qd2,e6
3,Qd1,g6
4,Qd2,Bg7
5,Qd1,Nh6
6,Qd2,Bf6
7,Qd1,Bg5
8,Qd2,Bxd2+
9,Bxd2,O-O
10,Bc1,Bd7
11,Bd2,Bc6
12,Bc1,Bb5
13,Bd2,Bc4
14,Nc3,Qd7
15,Bc1,Qc6
16,Bd2,Qxg2
17,Bc1,Qxh1
18,Nf3,Bxe2
19,Be3,Qxf1+
20,Kd2,Bd1
21,Nxd1,Qc4
22,b3,Qb5
23,a4,Qc6
24,b4,Na6
25,b5,Qc4
26,bxa6,Qb4+
27,Nc3,Qb2
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d6
2,e3,e6
3,Bd3,g6
4,Nc3,Bg7
5,Nf3,Ne7
6,e4,O-O
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d6
2,e4,e6
3,Nf3,g6
4,Nc3,Bg7
5,Qd2,Bxd4
6,Qd1,Bxc3+
7,bxc3,Qe7
8,Qd2,Nf6
9,Qd1,O-O
10,Qd2,Bd7
11,Qd1,Nc6
12,Qd2,Ne5
13,Nxe5,dxe5
14,Qd1,Nxe4
15,Qd2,Nxd2
16,Bxd2,Qf6
17,Bg5,Qxg5
18,f4,Qxf4
19,g3,Qe4+
20,Be2,Qxh1+
21,Kd2,Qxh2
22,c4,Qxg3
23,c3,Ba4
24,Rf1,Qg2
25,Kd3,Bc2+
26,Kxc2,Qxe2+
27,Kb3,Qxf1
28,Kb4,Qe2
29,Kc5,Qxa2
30,Kb4,Qc2
31,Kc5,Qxc3
32,Kb5,c6+
33,Kc5,b6+
34,Kxc6,Rac8+
35,Kb7,Rb8+
36,Kxa7,Ra8+
37,Kxb6,Rfb8+
38,Kc6,Qxc4+
39,Kd7,Qd4+
40,Ke7,Rb7+
41,Kf6,Qf4#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,Nc3,Nf6
3,e4,dxe4
4,Bg5,Bg4
5,f3,exf3
6,gxf3,Bf5
7,Bxf6,exf6
8,d5,Bb4
9,a3,Qe7+
10,Ne2,Bxc3+
11,bxc3,Na6
12,a4,O-O-O
13,a5,Be6
14,dxe6,Rxd1+
15,Kxd1,Qxe6
16,Nf4,Qd6+
17,Nd3,Nc5
18,Rb1,Nxd3
19,cxd3,g5
20,Bh3+,Kb8
21,Bg2,Qxd3+
22,Ke1,Qxc3+
23,Kf2,Qd3
24,Rhd1,f5
25,Rxd3,f4
26,Bf1,a6
27,Rbd1,b6
28,Rd8+,Rxd8
29,Rxd8+,Kb7
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,h4,e5
2,h5,h6
3,e3,Nf6
4,e4,Nxe4
5,d3,Nf6
6,Nh3,d5
7,Nc3,Bg4
8,Be2,Bxe2
9,Qxe2,Bd6
10,d4,e4
11,Qb5+,Nbd7
12,Qxb7,O-O
13,Nxd5,Nxd5
14,Qxd5,a5
15,Bxh6,gxh6
16,O-O-O,Nf6
17,Qf5,Kg7
18,g4,Qd7
19,Qd5,Nxd5
20,g5,Nf4
21,Rdg1,Nxh3
22,gxh6+,Kxh6
23,Rg7,Kxg7
24,Rg1+,Nxg1
25,h6+,Kxh6
26,f4,Bxf4+
27,Kb1,Qxd4
28,a4,Rab8
29,Ka2,Qxb2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Bc4,Nf6
3,d4,Nxe4
4,Bxf7+,Ke7
5,Bg5+,Nxg5
6,dxe5,Nxf7
7,Qh5,g6
8,Qh4+,Ke8
9,Qxd8+,Nxd8
10,Nc3,Bb4
11,Nf3,Bxc3+
12,bxc3,Kf7
13,O-O,Ne6
14,Rae1,Nc6
15,a4,b6
16,c4,Bb7
17,Nh4,Ncd4
18,f3,Ba6
19,Rf2,Bxc4
20,Re4,b5
21,a5,Bd5
22,Rg4,Nf5
23,Rf4,Nxf4
24,Nxf5,gxf5
25,a6,Rhg8
26,Kh1,Rg6
27,h4,Rag8
28,g4,fxg4
29,Kh2,g3+
30,Kg1,gxf2+
31,Kxf2,Rg2+
32,Ke3,Ne6
33,f4,Rg8g3#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,d4,exd4
3,Qxd4,Nc6
4,Qd1,Nf6
5,Nc3,Bb4
6,f3,O-O
7,a3,Ba5
8,b4,Bb6
9,Bg5,d6
10,Bb5,h6
11,Bxf6,Qxf6
12,Nd5,Qh4+
13,g3,Qd8
14,Bxc6,bxc6
15,Nf4,Ba6
16,a4,Qf6
17,b5,cxb5
18,axb5,Qc3+
19,Kf1,Bxb5+
20,Nfe2,f5
21,exf5,Rxf5
22,Kg2,Bxe2
23,Nxe2,Qxf3+
24,Kh3,Rh5#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,Nf3,Nf6
2,d3,d6
3,Be3,c5
4,Ng5,h6
5,Ne4,Nbd7
6,c3,b6
7,Qb3,Bb7
8,g3,Nxe4
9,dxe4,Bxe4
10,Rg1,Nf6
11,Bh3,e6
12,Qb5+,Qd7
13,Qa6,Qb7
14,Qc4,Bd5
15,Qa4+,b5
16,Qa5,Be7
17,Na3,Bc6
18,Rd1,Bd8
19,Nc4,bxc4
20,Qa3,Be7
21,Bxc5,dxc5
22,Qa5,Qb6
23,Rd8+,Bxd8
24,Qxb6,axb6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e3,e5
2,Qe2,Nf6
3,d4,e4
4,g3,d5
5,Qb5+,c6
6,Qa4,Bd7
7,c4,Be7
8,cxd5,cxd5
9,Bb5,O-O
10,Bxd7,Nbxd7
11,b4,Rc8
12,Bb2,a6
13,Nc3,Rc4
14,Rc1,Bxb4
15,Ne2,Bxc3+
16,Bxc3,Rxa4
17,Kd2,Rxa2+
18,Rc2,Rxc2+
19,Kxc2,Qc8
20,Rb1,Ng4
21,Kb3,Nxf2
22,Nf4,Qc4+
23,Kc2,Rc8
24,Kd2,Qxc3+
25,Ke2,Qc2+
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,h3,b6
2,g4,Bb7
3,f3,g6
4,Bg2,e6
5,d3,Qh4+
6,Kd2,Bh6+
7,e3,Qf2+
8,Qe2,Qh4
9,Bf1,Nf6
10,Rh2,Nd5
11,Qf2,Bxe3+
12,Qxe3,Nxe3
13,Kxe3,Qe1+
14,Ne2,Qxf1
15,Rf2,Qxh3
16,Bd2,Qh6+
17,f4,Qh3+
18,Kd4,c5+
19,Kc4,Bd5+
20,Kc3,Qxg4
21,Na3,O-O
22,Rg1,Qf5
23,Be1,Qf6+
24,Kd2,Qxb2
25,Nc4,Bxc4
26,dxc4,Qb4+
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,Na3,d5
2,c3,e5
3,Nc2,Nc6
4,Nh3,Bxh3
5,gxh3,Bc5
6,e3,Nh6
7,Bg2,O-O
8,Rf1,d4
9,cxd4,exd4
10,exd4,Nxd4
11,Nxd4,Bxd4
12,f3,Re8+
13,Qe2,Rxe2+
14,Kxe2,Qd6
15,d3,Qxh2
16,Rf2,Re8+
17,Be3,Rxe3+
18,Kd2,Nf5
19,Re1,Rxe1
20,Kxe1,Qg1+
21,Rf1,Bf2+
22,Ke2,Nd4+
23,Kd1,Qxg2
24,Re1,Bxe1
25,Kxe1,Qe2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,Nc3,d5
2,e3,d4
3,Nce2,dxe3
4,fxe3,Qd6
5,Ng3,Nf6
6,Bb5+,c6
7,Ba4,e6
8,Ng1e2,b5
9,Bb3,Ba6
10,d4,Nd5
11,e4,Nc7
12,c4,bxc4
13,Ba4,Qb4+
14,Qd2,Qxa4
15,Nc3,Bb4
16,Nxa4,Bxd2+
17,Bxd2,O-O
18,O-O,Nd7
19,Rf3,e5
20,Nf5,Bc8
21,Nc5,Nf6
22,Nd6,Bg4
23,Rf4,h5
24,dxe5,Nd7
25,Nxd7,Bxd7
26,Be3,Ne6
27,Rf3,Rab8
28,Rc1,Rxb2
29,Rxc4,Rxa2
30,Rc1,Ra3
31,Rh3,g6
32,Re1,Ra4
33,Bh6,Nf4
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,d4,d5
2,e3,Nf6
3,Na3,Bf5
4,Bb5+,c6
5,Bd3,e6
6,Nf3,Bxa3
7,bxa3,Bxd3
8,cxd3,Qb6
9,h4,Nbd7
10,g3,Ng4
11,a4,Qb4+
12,Bd2,Qa3
13,Ke2,b5
14,axb5,cxb5
15,e4,O-O
16,h5,Rab8
17,e5,b4
18,Ng5,a5
19,f3,Nh6
20,Qb1,a4
21,Bxb4,Rxb4
22,Qc1,Rb2+
23,Ke3,Nf5+
24,Kf4,Qxd3
25,Rd1,Qe2
26,Rd2,Rxd2
27,a3,Qe3+
28,Kg4,Qxd4+
29,f4,Nxe5+
30,Kh3,Nf3
31,Nxf3,Qf2
32,Qg1,Qxf3
33,Qc5,Qxh5#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,d4,Nc6
3,d5,Nd4
4,Nf3,d6
5,Bg5,Nxf3+
6,Qxf3,Qxg5
7,Bb5+,Bd7
8,a4,Qc1+
9,Qd1,Qxd1+
10,Kxd1,c6
11,Bc4,Nf6
12,Nc3,a6
13,b3,Be7
14,Re1,O-O
15,f3,b5
16,axb5,axb5
17,Rxa8,Rxa8
18,Bd3,c5
19,Ke2,Rc8
20,Bxb5,Bxb5+
21,Nxb5,c4
22,b4,Rb8
23,Na3,Rxb4
24,g4,Bd8
25,h4,Ba5
26,g5,Ra4
27,Nb5,Bxe1
28,gxf6,Bxh4
29,fxg7,Kxg7
30,Nxd6,Ra2
31,Ne8+,Kf8
32,Nc7,Rxc2+
33,Kd1,Rf2
34,d6,Rxf3
35,d7,Rd3+
36,Kc2,Rxd7
37,Nb5,h5
38,Kc3,Be1+
39,Kxc4,h4
40,Kc5,h3
41,Kc6,Re7
42,Kd6,h2
43,Nc7,h1=Q
44,Nd5,Qxe4
45,Nxe7,Bb4+
46,Kd7,Bxe7
47,Kc7,f5
48,Kb8,f4
49,Kc7,f3
50,Kb8,f2
51,Ka7,f1=Q
52,Kb6,Qd4+
53,Kb7,e4
54,Kc8,e3
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,e4,h6
3,Qe2,Nf6
4,exd5,Qxd5
5,Qd3,Bf5
6,Qd2,Ne4
7,Qe3,e6
8,Qf4,Bd6
9,Qh4,Qxd4
10,Ne2,Qc5
11,Be3,Qxc2
12,Nec3,Qxb2
13,Bb5+,c6
14,Bc4,Qxa1
15,Bc1,Nxc3
16,Qd4,Qxb1
17,Qxc3,O-O
18,Rf1,Bf4
19,Ke2,Qe4+
20,Kd1,Bxc1
21,Qxc1,Qxg2
22,Ke1,Qe4+
23,Kd2,Rd8+
24,Kc3,Bh3
25,Qd1,Rxd1
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,e3,c6
3,c4,Qa5+
4,b4,Qxb4+
5,Bd2,Qb2
6,Bc3,Qb6
7,Qb3,Qc7
