Move number,White Moves,Black Moves
19,Be4,g4
20,Bxf5,gxf5
21,Bd4,Qd5
22,Bg7+,Ke8
23,O-O,Qxd2
24,Re1,Na6
25,Be5,Nc5
26,Bc3,Qf4
27,Bd4,b6
28,Bxc5,bxc5
29,Qg7,Kd7
30,Qxh7,Kd6
31,Qg6+,e6
32,Qxe6+,Kc7
33,Qf7+,Kb6
34,Re8,Nh6
35,Qe7,g3
36,Rxa8,c4
37,fxg3,Qd4+
38,Kf1,Ng4
39,Qxa7+,Kb5
40,Qxd4,cxb3
41,axb3,c5
42,Qa4+,Kb6
43,Qa6+,Kc7
44,Qb7+,Kd6
45,Qb6+,Ke5
46,Qxc5+,Ke4
47,Re8+,Kf3
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,c5
2,d4,cxd4
3,Qxd4,Nc6
4,Qe3,d6
5,Bb5,Bd7
6,Bxc6,Bxc6
7,Nf3,Nf6
8,Nc3,e6
9,O-O,Be7
10,Qd4,O-O
11,h3,Qc7
12,Bg5,a6
13,Bxf6,Bxf6
14,e5,dxe5
15,Qb4,Rad8
16,Rad1,Rxd1
17,Rxd1,Rd8
18,Rxd8+,Qxd8
19,g4,Bxf3
20,a4,e4
21,Nxe4,Qd1+
22,Kh2,Be5+
23,Ng3,Qh1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,e4,dxe4
3,Bf4,Nf6
4,Be5,Nc6
5,f3,Nxe5
6,dxe5,Qxd1+
7,Kxd1,Nd7
8,fxe4,Nxe5
9,Nf3,Bg4
10,Bb5+,c6
11,Be2,Nxf3
12,gxf3,Bd7
13,Nc3,e5
14,Kd2,Rd8
15,Rad1,Be7
16,Kc1,O-O
17,Na4,c5
18,a3,Bxa4
19,h4,Rxd1+
20,Bxd1,Rd8
21,h5,h6
22,b3,Bg5+
23,Kb2,Bc6
24,a4,b5
25,a5,Rd2
26,f4,Bxf4
27,Rg1,Bxe4
28,Rg4,Rxd1
29,Rxg7+,Kxg7
30,b4,cxb4
31,c4,bxc4
32,a6,Rd2+
33,Kc1,Rh2+
34,Kd1,Bf3+
35,Ke1,Bg3+
36,Kf1,Ra2
37,Kg1,Ra1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Nc3,Nf6
3,d3,a5
4,Be3,b6
5,d4,exd4
6,Bxd4,c5
7,Be5,d6
8,Bf4,Nh5
9,Be3,Nf6
10,f4,Bg4
11,Be2,Bh5
12,h4,Bg6
13,f5,Bh5
14,g4,Bxg4
15,Bb5+,Ke7
16,Be2,Ke8
17,Bf3,g6
18,e5,dxe5
19,Nb5,Qd7
20,fxg6,Qxb5
21,gxf7+,Kxf7
22,Ne2,Qxb2
23,O-O,e4
24,h5,exf3
25,Nf4,f2+
26,Rxf2,Bxd1
27,Nh3,Qxa1
28,Ng5+,Ke7
29,Bf4,Nbd7
30,Rd2,Rd8
31,Bd6+,Ke8
32,Kf1,h6
33,Ne6,Rg8
34,Kf2,Ne4+
35,Ke1,Nxd6
36,Rxd1,Qe5+
37,Kd2,Qxe6
38,Kc1,Qe3+
39,Kb1,Rg1
40,Rc1,Rxc1+
41,Kb2,Bg7+
42,c3,b5
43,Kb3,a4+
44,Ka3,Qxc3#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,a4,e5
2,c4,f6
3,c5,Qe7
4,b4,c6
5,a5,a6
6,Nc3,e4
7,e3,Qe5
8,d4,Qf5
9,g4,Qg5
10,f4,Qg6
11,h4,f5
12,g5,Nf6
13,Be2,Nd5
14,Bh5,Qxh5
15,Qxh5+,g6
16,Qe2,Nxc3
17,Qc4,Nd5
18,Bd2,d6
19,Ne2,Be6
20,cxd6,Bxd6
21,Ng3,Ke7
22,h5,Nxb4
23,d5,Bxd5
24,Qd4,c5
25,Qxh8,gxh5
26,Qxh7+,Ke6
27,Qxf5+,Ke7
28,Qh7+,Kd8
29,Nf5,Nc2+
30,Ke2,Bc4+
31,Kf2,Bf8
32,Rac1,Bb3
33,Rxh5,Ra7
34,g6,c4
35,g7,b6
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,c4,a6
2,e4,e6
3,d4,d5
4,f3,c6
5,g3,h6
6,h4,Qc7
7,f4,g5
8,Nf3,gxf4
9,Rh3,fxg3
10,c5,Nf6
11,e5,Ne4
12,Bd3,b6
13,h5,bxc5
14,dxc5,Bxc5
15,Nfd2,Qxe5
16,Qg4,Nf2+
17,Kf1,Nxg4
18,Rh4,Qf4+
19,Ke1,Qf2+
20,Kd1,Ne3#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,e6
2,e4,c5
3,c3,Qa5
4,b4,cxb4
5,d5,bxc3
6,Qc2,exd5
7,e5,d4
8,Bc4,Qxe5+
9,Ne2,Nc6
10,O-O,Bd6
11,Bf4,Qf6
12,g3,Bxf4
13,gxf4,d6
14,Qb3,Be6
15,Rd1,Bxc4
16,Qxc4,Qxf4
17,Nxf4,Nf6
18,Re1+,Ne5
19,Qa4+,Nd7
20,Nd5,O-O
21,Ne7+,Kh8
22,Qxd4,Nf3+
23,Kg2,Nxd4
24,Nxc3,Nc2
25,Red1,Nxa1
26,Rxa1,Nb6
27,Rd1,Rad8
28,a4,g6
29,a5,Nc4
30,Nb5,a6
31,Nc3,Nxa5
32,Rb1,b5
33,Ncd5,Nc4
34,h4,a5
35,Rxb5,Ra8
36,Nc3,a4
37,h5,gxh5
38,Rxh5,a3
39,Rg5,a2
40,Nxa2,Rxa2
41,Rg8+,Rxg8+
42,Nxg8,Kxg8
43,Kg3,Re2
44,Kf3,Re6
45,Kg4,d5
46,f4,d4
47,f5,Ne5+
48,Kf4,Nd3+
49,Kg5,Re1
50,f6,Nf2
51,Kh6,d3
52,Kg5,d2
53,Kf4,d1=Q
54,Kf5,Qd5+
55,Kf4,Re4+
56,Kf3,Qd3+
57,Kxf2,Re2+
58,Kf1,Qd1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,g3,d6
2,Bg2,c6
3,e3,Bg4
4,Bf3,Bxf3
5,Nxf3,d5
6,d4,Na6
7,Nc3,Nb4
8,Qd2,Qa5
9,Rb1,Nxa2
10,e4,Nxc3
11,Qxc3,Qxc3+
12,bxc3,O-O-O
13,Ne5,b5
14,Nxc6,Rd6
15,Ne5,f6
16,Rb3,fxe5
17,Ra3,exd4
18,cxd4,Kb8
19,c3,Nf6
20,Bf4,Nxe4
21,Ke2,Nxc3+
22,Kd3,Ne2
23,Bxd6+,exd6
24,Rha1,Nc1+
25,Kc2,b4
26,Rxa7,Kc8
27,Ra8+,Kc7
28,Ra1a6,Na2
29,Ra8a7+,Kc8
30,Rc6+,Kb8
31,Rb6+,Kxa7
32,Rb5,Ka6
33,Rb8,g5
34,Ra8+,Kb7
35,Rxa2,Bg7
36,Ra1,Bxd4
37,Ra2,Bxf2
38,Kd3,Bg1
39,Rg2,Bc5
40,Kd2,b3
41,Re2,b2
42,Re1,Ba3
43,Rb1,Rf8
44,Kc3,Rf2
45,Kb3,Rf3+
46,Ka2,Bb4
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,Nf6
2,c4,e6
3,g3,d5
4,Nf3,c6
5,Bg2,dxc4
6,O-O,Be7
7,Ne5,O-O
8,Nxc4,Nbd7
9,Nc3,Qc7
10,Bf4,Qd8
11,e4,Re8
12,Rc1,Nb6
13,Ne3,Bd7
14,Qe2,Bf8
15,Rfd1,Qe7
16,a3,Rad8
17,b4,a6
18,Bc7,Nc8
19,Bxd8,Qxd8
20,Na4,Qc7
21,Nc5,e5
22,dxe5,Rxe5
23,f4,Re7
24,e5,Ne8
25,Rd2,g6
26,Rcd1,Be6
27,Kh1,Ng7
28,a4,h5
29,a5,Na7
30,Rd8,Nb5
31,Ne4,Re8
32,Nf6+,Kh8
33,Nxe8,Nxe8
34,Rxe8,Kg7
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,b3,d5
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,e6
2,e4,Nf6
3,e5,Ne4
4,Bd3,f5
5,Nh3,g6
6,c4,c6
7,Nc3,d5
8,cxd5,cxd5
9,Qa4+,Bd7
10,Bb5,Nxc3
11,Bxd7+,Qxd7
12,Qxd7+,Kxd7
13,Ng5,Ne4
14,O-O,Nxg5
15,g3,Nc6
16,a4,Nxd4
17,b4,Bg7
18,b5,Bxe5
19,Bxg5,Nf3+
20,Kg2,Nxg5
21,f4,Bxa1
22,Rxa1,Ne4
23,Rb1,Rhc8
24,b6,axb6
25,Rxb6,Rc4
26,Rxb7+,Kd6
27,Rb6+,Kc5
28,Rb5+,Kd6
29,a5,h5
30,Rb6+,Kc5
31,Rxe6,Rxa5
32,Rxg6,Rc2+
33,Kf3,Rc3+
34,Kg2,Ra2+
35,Kh3,Nf2+
36,Kg2,Ne4+
37,Kh3,Nf2+
38,Kg2,h4
39,Rg8,hxg3
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,e6
2,e4,Nf6
3,Nc3,Nc6
4,Nf3,d5
5,e5,Ng4
6,Ng5,Qd7
7,Qxg4,b6
8,Bf4,Bb7
9,O-O-O,O-O-O
10,b3,Bb4
11,Bd2,Kb8
12,Bb5,f5
13,Qe2,h6
14,Nf3,a6
15,Ba4,b5
16,a3,bxa4
17,axb4,Nxb4
18,bxa4,Bc6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,h4,a5
2,b4,g5
3,Nc3,gxh4
4,Nd5,Bg7
5,e3,Bxa1
6,d3,axb4
7,Bb2,Rxa2
8,Bc3,bxc3
9,e4,e6
10,Qb1,exd5
11,Qb2,dxe4
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,d4,e6
2,e4,Nf6
3,e5,Ng4
4,Qxg4,f5
5,Qd1,Qg5
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,d4,e6
2,e4,c5
3,e5,cxd4
4,Bb5,Bc5
5,c4,a6
6,Ba4,Ne7
7,Nd2,Nbc6
8,Ne4,Qb6
9,Bg5,O-O
10,Bxe7,Nxe7
11,b4,Qxb4+
12,Nd2,b5
13,Rb1,Qa5
14,Rxb5,axb5
15,cxb5,Qxa4
16,Qxa4,Rxa4
17,Ne4,Bb4+
18,Ke2,Rxa2+
19,Kd3,Nd5
20,Kxd4,Bb7
21,Nf3,Nf4
22,Rb1,Be7
23,b6,Ra4+
24,Ke3,Rxe4+
25,Kd2,Nxg2
26,Ng5,Bxg5+
27,Kd3,Nf4+
28,Kc3,Rc8+
29,Kb3,Nd3
30,f3,Rb4+
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e6
2,d4,d5
3,Nc3,c5
4,Nf3,Nf6
5,Bb5+,Bd7
6,dxc5,Bxc5
7,Ne5,a6
8,Bxd7+,Nbxd7
9,Nd3,Qb6
10,Nxc5,Qxc5
11,Be3,Qb5
12,b3,Qa5
13,Qd4,Rc8
14,b4,Qa3
15,Bc1,Qxc3+
16,Qxc3,Rxc3
17,O-O,Nxe4
18,f3,Ng5
19,Bxg5,Rxc2
20,Rfc1,Re2
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e3,e5
2,Nf3,Nf6
3,Ng5,Nc6
4,c3,Bc5
5,Qb3,d5
6,c4,h6
7,Nf3,e4
8,Nh4,Ng4
9,f3,Nge5
10,cxd5,b5
11,fxe4,Qxh4+
12,g3,Qxe4
13,dxc6,Qxh1
14,d4,Qxh2
15,dxe5,Bg4
16,Qxb5,Rd8
17,Nc3,Bf3
18,Qxc5,Rd3
19,Qxa7,Qc2
20,Qb8+,Rd8
21,Qxc7,Bg4
22,Qb6,f6
23,c7,Rd1+
24,Nxd1,Qxd1+
25,Kf2,fxe5
26,Qb8+,Kf7
27,Qxh8,Qc2+
28,Kg1,Bf3
29,c8=Q,Qxc8
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,d4,c5
2,d5,d6
3,e4,Bd7
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,d4,Nf6
2,c3,g6
3,b4,Bg7
4,a3,e6
5,e3,d6
6,f4,b6
7,g3,Bb7
8,h4,Nc6
9,Bd3,Ne7
10,Bxg6,e5
11,Bd2,fxg6
12,Nh3,exd4
13,Ng5,dxc3
14,Bxc3,Bxh1
15,Ne6,Qd7
16,Nxg7+,Kf8
17,Bxf6,Qh3
18,Qd4,Qg2
19,Nd2,Qg1+
20,Nf1,Bg2
21,Ke2,Nf5
22,Nh2,Nxg3+
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,Nf6
2,Qf3,d6
3,Bb5+,c6
4,Bc4,b5
5,Bd3,Bg4
6,Qf4,h5
7,e5,dxe5
8,Qxe5,Nbd7
9,Qf4,e6
10,Nf3,e5
11,Nxe5,b4
12,Nxc6,Qc7
13,Qxc7,a6
14,Qb7,Nb6
15,Qxb6,Rc8
16,Nxb4,h4
17,Bxa6,h3
18,Qb5+,Nd7
19,gxh3,Bxh3
20,Bxc8,Kd8
21,Bb7,g5
22,Qa5+,Ke8
23,Nd5,Be7
24,Qa8+,Bd8
25,d3,Rh6
26,Bxg5,Rg6
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,b6
2,Qf3,h6
3,Bc4,a6
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,e5
2,Nf3,Nf6
3,d3,Nc6
4,Bg5,h6
5,Bxf6,Qxf6
6,d4,exd4
7,Bb5,Bc5
8,Bxc6,dxc6
9,e5,Qf4
10,c3,Bg4
11,cxd4,Bxf3
12,Qxf3,Qxd4
13,Qe2,O-O
14,O-O,Rfe8
15,Nd2,Qxb2
16,Rab1,Qxa2
17,Rxb7,Bb6
18,Qe4,Re6
19,Rb1,Qa6
20,Rb7xb6,axb6
21,Nc4,Qa1
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,d5
2,e5,Nc6
3,Nf3,f6
4,exf6,gxf6
5,Bb5,Bd7
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,b6
2,Qf3,Bb7
3,Bc4,e6
4,d4,f5
5,Qf4,g6
6,h4,Bh6
7,Qh2,Bxc1
8,f4,Bxe4
9,Kd1,Be3
10,Ne2,Nc6
11,Re1,Bxd4
12,c3,Bf6
13,g3,Nh6
14,Nd2,Ng4
15,Qg1,a6
16,a4,d5
17,b4,dxc4
18,b5,axb5
19,axb5,Rxa1+
20,Nc1,Bxc3
21,Qg2,Bxg2
22,bxc6,Bf3+
23,Kc2,Bxd2
24,Rxe6+,Kf8
25,Nb3,Bd1+
26,Kb2,Bxb3
27,Kxa1,Qd4+
28,Kb1,Ne3
29,Rxe3,Qxe3
30,g4,Qd3+
31,Kb2,Qc2+
32,Ka3,Qa2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,d5
2,Bb5+,Bd7
3,Bxd7+,Nxd7
4,exd5,Nb6
5,Nc3,e6
6,Qf3,exd5
7,Nh3,Nf6
8,b4,Bxb4
